epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26716,1.81955,2.88135,1.16351,0.01194,0.78195,0.28032,0.10926,1.65311,3.18753,0.93599,0.00024,0.00024,0.00024
2,16.2171,1.72922,1.52351,1.1155,0.92792,0.38723,0.55393,0.27306,1.71198,2.42173,0.95003,0.00049505,0.00049505,0.00049505
3,24.1247,1.64819,1.19157,1.11129,0.89919,0.45113,0.70494,0.34332,1.82484,1.97653,1.02588,0.000744952,0.000744952,0.000744952
4,31.9955,1.67072,1.12967,1.10263,0.87489,0.63098,0.72302,0.36866,1.7016,1.67965,0.99765,0.000989706,0.000989706,0.000989706
5,39.8072,1.64556,1.13289,1.1268,0.83987,0.62406,0.7417,0.36218,1.71226,1.41258,1.05818,0.00122931,0.00122931,0.00122931
6,47.8409,1.63755,1.12537,1.13929,0.88376,0.52632,0.71419,0.36745,1.58513,1.40635,0.99672,0.00146377,0.00146377,0.00146377
7,55.8414,1.63137,1.13264,1.13371,0.87996,0.63158,0.7017,0.36972,1.58499,1.33536,1.00547,0.00169308,0.00169308,0.00169308
8,63.8887,1.64461,1.06341,1.0905,0.88437,0.65414,0.7485,0.38314,1.50877,1.23981,0.97533,0.0018614,0.0018614,0.0018614
9,71.8561,1.62939,1.04472,1.08798,0.71479,0.69173,0.77671,0.39826,1.61366,1.24621,1.04386,0.0018416,0.0018416,0.0018416
10,80.376,1.58728,1.02568,1.09863,0.93543,0.6536,0.81899,0.39652,1.65307,1.22969,1.06538,0.0018218,0.0018218,0.0018218
11,88.8071,1.56889,0.99542,1.07017,0.91242,0.74436,0.8965,0.41431,1.63346,1.13098,1.03939,0.001802,0.001802,0.001802
12,97.3615,1.54927,0.9592,1.0561,0.77366,0.79671,0.85597,0.37035,1.75185,1.20599,1.07473,0.0017822,0.0017822,0.0017822
13,105.662,1.56244,0.96316,1.07391,0.86752,0.7594,0.87573,0.39712,1.72053,1.17148,1.06738,0.0017624,0.0017624,0.0017624
14,113.838,1.53097,0.97183,1.08584,0.92999,0.89887,0.95233,0.45278,1.64847,1.1775,1.03979,0.0017426,0.0017426,0.0017426
15,122.088,1.50913,0.96916,1.06801,0.86544,0.90977,0.92157,0.43705,1.58889,1.18343,1.01553,0.0017228,0.0017228,0.0017228
16,130.618,1.49071,0.95173,1.07001,0.83959,0.90512,0.89967,0.43012,1.62824,1.20286,1.02409,0.001703,0.001703,0.001703
17,139.381,1.52662,0.94732,1.08332,0.88209,0.75188,0.84205,0.41903,1.59521,1.19996,1.02644,0.0016832,0.0016832,0.0016832
18,147.635,1.51117,0.95048,1.06351,0.84037,0.75207,0.84799,0.42598,1.57936,1.17535,1.02699,0.0016634,0.0016634,0.0016634
19,155.98,1.53917,0.9389,1.07814,0.83204,0.86466,0.87389,0.40676,1.66695,1.04252,1.04286,0.0016436,0.0016436,0.0016436
20,164.459,1.4989,0.9297,1.04638,0.91536,0.73187,0.90616,0.46669,1.5351,1.03183,0.99099,0.0016238,0.0016238,0.0016238
